counseling_authority,college_name,type,exam,minority,university,quota,course,category,round,cutoff,year,seat,fee
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 1,10597,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 2,400,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 3,5324,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Endodontics,General,round 4,2524,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 1,15466,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 2,7193,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 3,13811,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Prosthodontics,General,round 4,19967,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 1,14931,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 2,38324,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 3,13287,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Periodontics,General,round 4,10892,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 1,35099,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 2,36656,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 3,8959,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Orthodontics,General,round 4,38061,2024,06,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 1,13150,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 2,10425,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 3,3964,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Surgery,General,round 4,22616,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 1,6279,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 2,38303,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 3,38010,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Pedodontics,General,round 4,21787,2024,05,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 1,22847,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 2,30272,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 3,20513,2024,03,"9,48,600/-"
Uttar Pradesh,"Sardar Patel Dental College, Lucknow",,NEET-MDS,None,ABVMU,Management Quota - All Domicile Candidates,MDS - Oral Medicine & Radiology,General,round 4,22537,2024,03,"9,48,600/-"
